Date,Open,Close Adj
2020-03-01,2.75,2.75
2020-03-02,2.75,3.9
2020-03-03,3.9,3.46
2020-03-04,3.46,3.46
2020-03-05,3.46,3.46
2020-03-06,3.46,2.31
2020-03-07,2.31,2.12
2020-03-08,2.12,3.73
2020-03-09,3.73,3.2
2020-03-10,3.2,3.42
2020-03-11,3.42,3.42
2020-03-12,3.42,3.42
2020-03-13,3.42,3.66
2020-03-14,3.66,2.42
2020-03-15,2.42,2.36
2020-03-16,2.36,2.37
2020-03-17,2.37,2.61
2020-03-18,2.61,2.61
2020-03-19,2.61,2.61
2020-03-20,2.61,2.58
2020-03-21,2.58,3.22
2020-03-22,3.22,2.28
2020-03-23,2.28,2.58
2020-03-24,2.58,2.73
2020-03-25,2.73,2.73
2020-03-26,2.73,2.73
2020-03-27,2.73,2.4
2020-03-28,2.4,3.03
2020-03-29,3.03,3.18
2020-03-30,3.18,2.09
2020-03-31,2.09,3.22
